title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-825ai-mqwtpiba7h1i61,,Travel & Luggage,Luggage,IVCN202607211566,,,,,A001,,,1,
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-8257s-mqwtplh0ho24bf,,Travel & Luggage,Travel Bags,IVCN202607211568,,,,,A002,,,1,Foldable Bags
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-8259n-mqwtpudvidj4e1,,Travel & Luggage,Travel Accessories,IVCN202607211570,,,,,A003,,,1,Travel Organizers
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-825a5-mqwtpxkyq0p8d9,,Travel & Luggage,Travel Accessories,IVCN202607211572,,,,,A004,,,1,Travel Organizers
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-8259n-mqwtq3gxiqkh2c,,Travel & Luggage,Luggage,IVCN202607211574,,,,,A005,,,1,
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-82580-mqwtwo2x3gn7af,,Men Bags,Wallets,IVCN202607211576,,,,,A006,,,1,Long Wallets
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-825af-mqwtwroxeayt80,,Men Bags,Wallets,IVCN202607211578,,,,,A007,,,1,Long Wallets
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-8258w-mqwtwuu64efgd3,,Men Bags,Backpacks,IVCN202607211580,,,,,A008,,,1,
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-8259p-mqwtwy9gtlvwee,,Men Bags,Backpacks,IVCN202607211582,,,,,A009,,,1,
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-8259s-mqwu1k1v4q2t7f,,Men Bags,Backpacks,IVCN202607211584,,,,,A010,,,1,
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-825am-mqwu1mqsbe3007,,Men Bags,Backpacks,IVCN202607211586,,,,,A011,,,1,
,,请参考1688三档价,https://mms.img.susercontent.com/sg-11134301-8258h-mqwu1piciex1e2,,Men Bags,Crossbody & Shoulder Bags,IVCN202607211588,,,,,A012,,,1,
